buy_rise_pct,sell_drop_pct,final_value,return_pct,trades,buys,sells
12.5,7.5,1135.724422,13.572442,3,2,1
2.0,8.0,1135.30838,13.530838,7,4,3
8.5,10.0,1135.092993,13.509299,3,2,1
9.0,10.0,1135.092993,13.509299,3,2,1
1.5,6.5,1135.074446,13.507445,9,5,4
11.0,8.5,1134.562224,13.456222,3,2,1
2.5,10.5,1134.495982,13.449598,3,2,1
3.0,10.5,1134.495982,13.449598,3,2,1
3.5,10.5,1134.495982,13.449598,3,2,1
4.0,10.5,1134.495982,13.449598,3,2,1
4.5,10.5,1134.495982,13.449598,3,2,1
5.0,10.5,1134.495982,13.449598,3,2,1
2.5,11.0,1134.495982,13.449598,3,2,1
3.0,11.0,1134.495982,13.449598,3,2,1
3.5,11.0,1134.495982,13.449598,3,2,1
4.0,11.0,1134.495982,13.449598,3,2,1
4.5,11.0,1134.495982,13.449598,3,2,1
5.0,11.0,1134.495982,13.449598,3,2,1
2.5,11.5,1134.495982,13.449598,3,2,1
3.0,11.5,1134.495982,13.449598,3,2,1
3.5,11.5,1134.495982,13.449598,3,2,1
4.0,11.5,1134.495982,13.449598,3,2,1
4.5,11.5,1134.495982,13.449598,3,2,1
5.0,11.5,1134.495982,13.449598,3,2,1
2.5,12.0,1134.495982,13.449598,3,2,1
3.0,12.0,1134.495982,13.449598,3,2,1
3.5,12.0,1134.495982,13.449598,3,2,1
4.0,12.0,1134.495982,13.449598,3,2,1
4.5,12.0,1134.495982,13.449598,3,2,1
5.0,12.0,1134.495982,13.449598,3,2,1
2.5,12.5,1134.495982,13.449598,3,2,1
3.0,12.5,1134.495982,13.449598,3,2,1
3.5,12.5,1134.495982,13.449598,3,2,1
4.0,12.5,1134.495982,13.449598,3,2,1
4.5,12.5,1134.495982,13.449598,3,2,1
5.0,12.5,1134.495982,13.449598,3,2,1
2.5,13.0,1134.495982,13.449598,3,2,1
3.0,13.0,1134.495982,13.449598,3,2,1
3.5,13.0,1134.495982,13.449598,3,2,1
4.0,13.0,1134.495982,13.449598,3,2,1
4.5,13.0,1134.495982,13.449598,3,2,1
5.0,13.0,1134.495982,13.449598,3,2,1
2.5,13.5,1134.495982,13.449598,3,2,1
3.0,13.5,1134.495982,13.449598,3,2,1
3.5,13.5,1134.495982,13.449598,3,2,1
4.0,13.5,1134.495982,13.449598,3,2,1
4.5,13.5,1134.495982,13.449598,3,2,1
5.0,13.5,1134.495982,13.449598,3,2,1
7.0,6.5,1134.322568,13.432257,5,3,2
9.5,9.5,1133.72182,13.372182,3,2,1
10.0,9.5,1133.72182,13.372182,3,2,1
11.5,8.5,1133.374889,13.337489,3,2,1
7.5,6.0,1132.905849,13.290585,5,3,2
13.0,4.5,1132.781473,13.278147,3,2,1
13.5,4.5,1132.781473,13.278147,3,2,1
14.0,4.5,1132.781473,13.278147,3,2,1
14.5,4.5,1132.781473,13.278147,3,2,1
15.0,4.5,1132.781473,13.278147,3,2,1
13.0,5.0,1132.781473,13.278147,3,2,1
13.5,5.0,1132.781473,13.278147,3,2,1
14.0,5.0,1132.781473,13.278147,3,2,1
14.5,5.0,1132.781473,13.278147,3,2,1
15.0,5.0,1132.781473,13.278147,3,2,1
13.0,5.5,1132.781473,13.278147,3,2,1
13.5,5.5,1132.781473,13.278147,3,2,1
14.0,5.5,1132.781473,13.278147,3,2,1
14.5,5.5,1132.781473,13.278147,3,2,1
15.0,5.5,1132.781473,13.278147,3,2,1
8.0,4.5,1132.370729,13.237073,5,3,2
8.0,5.0,1132.370729,13.237073,5,3,2
8.0,5.5,1132.370729,13.237073,5,3,2
10.5,9.0,1131.221413,13.122141,3,2,1
1.0,9.0,1130.488873,13.048887,5,3,2
1.0,6.0,1129.973162,12.997316,9,5,4
